Model,Type,epsilon,Accuracy,Precision,Recall,F1-score,DIR,DPD,EOpp,EO
Logistic Regression,DiffPriv,0.1,0.4637,0.1369,0.5442,0.2188,0.6314,0.2414,0.2253,0.2442
Logistic Regression,DiffPriv,0.5,0.5404,0.1655,0.5766,0.2571,0.6673,0.1874,0.1835,0.191
Logistic Regression,DiffPriv,1.0,0.6208,0.2103,0.6348,0.316,0.7524,0.1158,0.1293,0.1293
Logistic Regression,DiffPriv,5.0,0.7226,0.3005,0.7617,0.431,0.9167,0.0306,0.0209,0.0274
Logistic Regression,DiffPriv,10.0,0.7255,0.3037,0.7657,0.4349,0.885,0.0428,0.0075,0.0393
Random Forest,DiffPriv,0.1,0.6687,0.2608,0.7639,0.3888,0.9387,0.0255,0.0747,0.0747
Random Forest,DiffPriv,0.5,0.6746,0.2647,0.7646,0.3933,0.9468,0.0217,0.0762,0.0762
Random Forest,DiffPriv,1.0,0.669,0.2619,0.7698,0.3909,0.9507,0.0204,0.0742,0.0742
Random Forest,DiffPriv,5.0,0.6688,0.2617,0.769,0.3905,0.9502,0.0207,0.075,0.075
Random Forest,DiffPriv,10.0,0.6688,0.2617,0.769,0.3905,0.9502,0.0207,0.075,0.075
Naive Bayes,DiffPriv,0.1,0.7259,0.2695,0.577,0.3674,0.8589,0.0444,0.0979,0.0979
Naive Bayes,DiffPriv,0.5,0.5617,0.2075,0.7723,0.3271,0.816,0.1029,0.0625,0.1167
Naive Bayes,DiffPriv,1.0,0.7304,0.2917,0.6682,0.4061,0.9584,0.0134,0.0688,0.0688
Naive Bayes,DiffPriv,5.0,0.7264,0.2923,0.6921,0.411,0.9769,0.0076,0.063,0.063
Naive Bayes,DiffPriv,10.0,0.7249,0.2919,0.6974,0.4115,0.9785,0.0072,0.0614,0.0614
Logistic Regression,DiffPriv w/ fairlearn,0.1,0.3925,0.0905,0.3761,0.1459,0.8782,0.0738,0.0253,0.0763
Logistic Regression,DiffPriv w/ fairlearn,0.5,0.5208,0.1508,0.534,0.2351,0.955,0.0224,0.0147,0.025
Logistic Regression,DiffPriv w/ fairlearn,1.0,0.6086,0.2008,0.6164,0.3029,0.9509,0.0212,0.0368,0.0368
Logistic Regression,DiffPriv w/ fairlearn,5.0,0.7211,0.299,0.7604,0.4293,0.9302,0.0255,0.0256,0.0256
Logistic Regression,DiffPriv w/ fairlearn,10.0,0.7212,0.2993,0.7615,0.4297,0.9257,0.0272,0.0232,0.024
Random Forest,DiffPriv w/ fairlearn,0.1,0.6837,0.2588,0.6935,0.3769,0.9561,0.0166,0.0597,0.0597
Random Forest,DiffPriv w/ fairlearn,0.5,0.6839,0.2629,0.716,0.3846,0.9554,0.0171,0.0623,0.0623
Random Forest,DiffPriv w/ fairlearn,1.0,0.6785,0.2613,0.7283,0.3846,0.9623,0.0147,0.0603,0.0603
Random Forest,DiffPriv w/ fairlearn,5.0,0.6771,0.2601,0.7265,0.383,0.9666,0.0131,0.0629,0.0629
Random Forest,DiffPriv w/ fairlearn,10.0,0.6779,0.2609,0.728,0.3841,0.9631,0.0145,0.0651,0.0651
Naive Bayes,DiffPriv w/ fairlearn,0.1,0.7207,0.2644,0.575,0.3622,0.9622,0.0115,0.0613,0.0613
Naive Bayes,DiffPriv w/ fairlearn,0.5,0.5606,0.2048,0.7577,0.3224,0.9105,0.0475,0.0113,0.0604
Naive Bayes,DiffPriv w/ fairlearn,1.0,0.7296,0.2909,0.668,0.4053,0.974,0.0083,0.0657,0.0657
Naive Bayes,DiffPriv w/ fairlearn,5.0,0.7262,0.2921,0.6919,0.4108,0.9811,0.0062,0.0615,0.0615
Naive Bayes,DiffPriv w/ fairlearn,10.0,0.7249,0.2919,0.6974,0.4115,0.9785,0.0072,0.0614,0.0614
